"id","class","role","year","title","locator","used_for","transfer_to_br","limitation","verified_on"
"MONO-001","MONO","base científica","2024","Lifetime Financial Advice: A Personalized Optimal Multilevel Approach","https://doi.org/10.56227/24.1.3","arquitetura multinível de ciclo de vida alocação localização e implementação","adaptar instituições tributos previdência e instrumentos brasileiros","monografia não prova eficácia do futuro produto e contém contexto norte-americano","2026-08-08"
"MONO-002","MONO","base científica","2007","Lifetime Financial Advice: Human Capital Asset Allocation and Insurance","https://rpc.cfainstitute.org/research/foundation/2007/lifetime-financial-advice-human-capital-asset-allocation-and-insurance","integração entre capital humano capital financeiro seguro e anuidades","traduzir seguros previdência e mercado de trabalho para o Brasil","modelo e instituições de origem não são brasileiros","2026-08-08"
"ACT-001","ACT","base científica","2023","A Primer on Retirement Income Strategy Design and Evaluation","https://www.soa.org/globalassets/assets/files/resources/research-report/2023/ret-income-strat-de.pdf","taxonomia de estratégias e métricas de desacumulação","aplicar métricas de déficit piso renda e legado com mortalidade brasileira","síntese cross-jurisdictional com exemplos australianos e norte-americanos; não é norma nem calibração brasileira","2026-08-08"
"GOV-001","GOV","contexto profissional","2025","TOP Planejamento Financeiro Pessoal 2ª edição","https://www.gov.br/investidor/pt-br/educacional/publicacoes-educacionais/livros-cvm/livro-top-planejamento-financeiro-pessoal","processo brasileiro de necessidade de renda e capital necessário","vocabulário e fluxo didático local","material educacional não é evidência de eficácia nem define a sigla NERI","2026-08-08"
"PEER-001","PEER","base científica","1969","Lifetime Portfolio Selection by Dynamic Stochastic Programming","https://doi.org/10.2307/1926559","fundação de decisão dinâmica ao longo da vida","benchmark conceitual para política multiperíodo","hipóteses estilizadas e sem fricções brasileiras","2026-08-08"
"PEER-002","PEER","base científica","1969","Lifetime Portfolio Selection under Uncertainty: The Continuous-Time Case","https://doi.org/10.2307/1926560","alocação e consumo em tempo contínuo","benchmark analítico","mercados completos e hipóteses simplificadoras","2026-08-08"
"PEER-003","PEER","base científica","1971","Optimum Consumption and Portfolio Rules in a Continuous-Time Model","https://doi.org/10.1016/0022-0531(71)90038-X","controle de consumo e portfólio","benchmark analítico para casos reduzidos","não representa tributos custos metas discretas ou benefícios brasileiros","2026-08-08"
"PEER-004","PEER","base científica","1965","Uncertain Lifetime Life Insurance and the Theory of the Consumer","https://doi.org/10.2307/2296058","mortalidade seguro e anuidades","estrutura atuarial para sobrevivência e legado","não determina produtos ou preços atuais","2026-08-08"
"PEER-005","PEER","base científica","1992","Labor Supply Flexibility and Portfolio Choice in a Life Cycle Model","https://doi.org/10.1016/0165-1889(92)90044-F","capital humano e flexibilidade laboral","modelar renda futura e capacidade de ajuste","calibração exige dados brasileiros","2026-08-08"
"PEER-006","PEER","base científica","2001","Optimal Portfolio Choice for Long-Horizon Investors with Nontradable Labor Income","https://doi.org/10.1111/0022-1082.00333","renda laboral não negociável e alocação","tratar emprego como risco correlacionado e não como renda certa","parâmetros não transferem automaticamente","2026-08-08"
"PEER-007","PEER","base científica","2005","Consumption and Portfolio Choice over the Life Cycle","https://doi.org/10.1093/rfs/hhi017","consumo e portfólio com renda laboral","base para cenários de ciclo de vida","modelo de país e mercado de trabalho distintos","2026-08-08"
"PEER-008","PEER","base científica","1989","Substitution Risk Aversion and the Temporal Behavior of Consumption and Asset Returns: A Theoretical Framework","https://doi.org/10.2307/1913778","separar aversão ao risco e substituição intertemporal","opção avançada de preferências","calibração difícil e sensível","2026-08-08"
"PEER-009","PEER","base científica","1997","Buffer-Stock Saving and the Life Cycle Permanent Income Hypothesis","https://doi.org/10.1162/003355397555109","poupança precaucionária e restrição de liquidez","modelar reserva de emergência e renda incerta","não fornece regra pronta para produto brasileiro","2026-08-08"
"PEER-010","PEER","base científica","2006","Household Finance","https://doi.org/10.1111/j.1540-6261.2006.00883.x","lacunas entre teoria financeira e decisões domiciliares","orientar desenho centrado em restrições reais","artigo de agenda não valida um motor específico","2026-08-08"
"PEER-011","PEER","base científica","2010","Portfolio Optimization with Mental Accounts","https://doi.org/10.1017/S0022109010000141","metas separadas e probabilidade de atingir limiares","motor de metas e shortfall","contas mentais podem produzir inconsistências agregadas se mal combinadas","2026-08-08"
"PEER-012","PEER","base científica","2005","Beyond Markowitz: A Comprehensive Wealth Allocation Framework for Individual Investors","https://doi.org/10.3905/jwm.2005.470606","camadas de segurança mercado e aspiração","taxonomia de objetivos e risco","framework profissional não substitui otimização e validação","2026-08-08"
"PEER-013","PEER","base científica","2005","A Sustainable Spending Rate without Simulation","https://doi.org/10.2469/faj.v61.n6.2776","taxa de gasto com horizonte de vida incerto","benchmark analítico de desacumulação","simplificações exigem comparação com modelos mais completos","2026-08-08"
"PEER-014","PEER","base científica","2011","Spending Retirement on Planet Vulcan: The Impact of Longevity Risk Aversion on Optimal Withdrawal Rates","https://doi.org/10.2469/faj.v67.n2.2","preferências e longevidade na retirada","testar sensibilidade a aversão ao risco de longevidade","parâmetros comportamentais não são diretamente observáveis","2026-08-08"
"PEER-015","PEER","base científica","2015","The Only Spending Rule Article You Will Ever Need","https://doi.org/10.2469/faj.v71.n1.2","recalcular gasto sustentável conforme riqueza e horizonte","benchmark de regra dinâmica anual","não contempla integralmente mercado e tributação brasileiros","2026-08-08"
"PEER-016","PEER","hipótese de fronteira","2025","The Only Other Spending Rule Article You Will Ever Need","https://doi.org/10.1080/0015198X.2025.2541567","combinar ativos reais seguros e risco de mercado na renda","avaliar analogia com escada de Tesouro IPCA+","um artigo recente e dependente de instrumentos dos Estados Unidos","2026-08-08"
"PEER-017","PEER","base científica","1992","Modeling and Forecasting U.S. Mortality","https://doi.org/10.1080/01621459.1992.10475265","modelo Lee-Carter e melhora de mortalidade","benchmark de mortalidade projetada","série e estabilidade dos Estados Unidos não transferem diretamente","2026-08-08"
"PEER-018","PEER","base científica","2006","A Two-Factor Model for Stochastic Mortality with Parameter Uncertainty: Theory and Calibration","https://doi.org/10.1111/j.1539-6975.2006.00195.x","mortalidade estocástica e incerteza paramétrica","cenários avançados de longevidade","complexidade e necessidade de calibração local","2026-08-08"
"PEER-019","PEER","base científica","2017","Multi-Period Trading via Convex Optimization","https://doi.org/10.1561/2400000023","controle por horizonte móvel com custos e restrições","replanejamento de portfólio e benchmark de otimização","não resolve previsão de retornos e não é planejamento familiar completo","2026-08-08"
