"authority_id","domain","jurisdiction","instrument_type","instrument_number","issued_at","issued_at_precision","published_at","published_at_precision","consolidated_through","official_url","official_pinpoint","role","legal_status","legal_certainty","policy_output_mode","source_artifact_path","source_checksum","reviewed_by","reviewed_on","review_expires_at","artifact_status","notes"
"BR-CVM-RES-019","investment_advice","BR","CVM_resolution","19","2021-02-25","day","unknown","unknown","2023","https://conteudo.cvm.gov.br/export/sites/cvm/legislacao/resolucoes/anexos/001/resol019consolid.pdf","arts. 1 and 17","primary","in_force","final","definitive","unknown","unknown","unassigned","unknown","unknown","draft","Automated systems remain within scope when the regulated activity is performed"
"BR-CVM-RES-030","suitability","BR","CVM_resolution","30","2021-05-11","day","unknown","unknown","2023","https://conteudo.cvm.gov.br/export/sites/cvm/legislacao/resolucoes/anexos/001/resol030consolid.pdf","scope and recordkeeping provisions","primary","in_force","final","definitive","unknown","unknown","unassigned","unknown","unknown","draft","Applicability depends on operator activity and client-specific output"
"BR-CVM-RES-020","securities_analysis","BR","CVM_resolution","20","2021-02-25","day","unknown","unknown","unknown","https://conteudo.cvm.gov.br/legislacao/resolucoes/resol020.html","full instrument","perimeter_check","unknown","unknown","blocked","unknown","unknown","unassigned","unknown","unknown","draft","Counsel must test analysis perimeter before relevant deployment"
"BR-CVM-RES-021","portfolio_management","BR","CVM_resolution","21","2021-02-25","day","unknown","unknown","unknown","https://conteudo.cvm.gov.br/legislacao/resolucoes/resol021.html","full instrument","perimeter_check","unknown","unknown","blocked","unknown","unknown","unassigned","unknown","unknown","draft","Counsel must test discretionary management perimeter"
"BR-LAW-13709","privacy","BR","federal_law","13.709","2018-08-14","day","unknown","unknown","current official consolidated text","https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13709compilado.htm","arts. 5-11, 16, 18, 20, 46-50","primary","in_force","final","definitive","unknown","unknown","unassigned","unknown","unknown","draft","Deployment-specific roles purposes legal bases and retention required"
"BR-EC-103","social_security","BR","constitutional_amendment","103","2019-11-12","day","unknown","unknown","current official text","https://www.planalto.gov.br/ccivil_03/constituicao/emendas/emc/emc103.htm","full instrument","primary","in_force","final","definitive","unknown","unknown","unassigned","unknown","unknown","draft","RGPS policy packs require supporting laws decree and INSS instructions"
"BR-LAW-8213","social_security","BR","federal_law","8.213","1991-07-24","day","unknown","unknown","current official consolidated text","https://www.planalto.gov.br/ccivil_03/leis/l8213compilado.htm","supported-case pinpoint required","primary","in_force","final","definitive","unknown","unknown","unassigned","unknown","unknown","draft","No implementation before article-level mapping"
"BR-DEC-3048","social_security","BR","federal_decree","3.048","1999-05-06","day","unknown","unknown","current official consolidated text","https://www.planalto.gov.br/ccivil_03/decreto/d3048compilado.htm","supported-case pinpoint required","primary","in_force","final","definitive","unknown","unknown","unassigned","unknown","unknown","draft","No implementation before article-level mapping"
"BR-INSS-IN-128","social_security","BR","INSS_normative_instruction","128","2022-03-28","day","unknown","unknown","includes later amendments; verify per case","https://www.gov.br/inss/pt-br/centrais-de-conteudo/legislacao/instrucao-normativa/2022","supported-case pinpoint required","primary","unknown","unknown","blocked","unknown","unknown","unassigned","unknown","unknown","draft","Portal index is discovery; pin exact consolidated instrument before use"
"BR-LAW-11053","pension_tax","BR","federal_law","11.053","2004-12-29","day","unknown","unknown","read with Law 14.803/2024 and regulations","https://www.planalto.gov.br/ccivil_03/_ato2004-2006/2004/lei/l11053.htm","art. 1 and applicable amendments","primary","in_force","final","definitive","unknown","unknown","unassigned","unknown","unknown","draft","Lot and holding-period rules require regulations"
"BR-LAW-14803","pension_tax","BR","federal_law","14.803","2024-01-10","day","unknown","unknown","current official text","https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/lei/l14803.htm","art. 1","primary","in_force","final","definitive","unknown","unknown","unassigned","unknown","unknown","draft","Choice timing and special transition facts require exact scope"
"BR-RFB-IN-2209","pension_tax","BR","RFB_normative_instruction","2.209","2024","year","unknown","unknown","unknown","https://normas.receita.fazenda.gov.br/sijut2consulta/consulta.action","exact official record to pin","primary","unknown","unknown","blocked","unknown","unknown","unassigned","unknown","unknown","draft","Discovery reference only; no policy pack until official locator and amendments are pinned"
"BR-OF-RESCONJ-001","open_finance","BR","joint_resolution","1","2020-05-04","day","unknown","unknown","version 8 observed","https://normativos.bcb.gov.br/Lists/Normativos/Attachments/51028/Res_Conj_0001_v8_P.pdf","scope consent authentication confirmation","primary","in_force","final","definitive","unknown","unknown","unassigned","unknown","unknown","draft","Participation and consent lifecycle are mandatory gates"
"BR-CNSP-RES-415","open_insurance","BR","CNSP_resolution","415","2021","year","unknown","unknown","see official reference page","https://www.gov.br/susep/pt-br/assuntos/open-insurance/documentos_de_referencia","exact instrument link on page","primary","unknown","unknown","blocked","unknown","unknown","unassigned","unknown","unknown","draft","Pin document and checksum before connector implementation"
"BR-SUSEP-CIR-635","open_insurance","BR","SUSEP_circular","635","2021","year","unknown","unknown","see official reference page","https://www.gov.br/susep/pt-br/assuntos/open-insurance/documentos_de_referencia","exact instrument link on page","primary","unknown","unknown","blocked","unknown","unknown","unassigned","unknown","unknown","draft","Pin document and amendments before connector implementation"
"BR-DEC-6306","iof_vgbl","BR","federal_decree","6.306","2007-12-14","day","unknown","unknown","current official compiled text; historical versioning required","https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2007/decreto/d6306compilado.htm","full instrument","legal_event","unknown","unknown","blocked","unknown","unknown","unassigned","unknown","unknown","draft","Base IOF decree; exact historical text and amendments require event-graph review"
