"dataset_id","resource_id","licensor","source_url","license_id","license_text_url","license_version","contract_id","retrieved_at","observed_at","effective_at","source_artifact_path","source_checksum","privacy_class","automated_access","storage_allowed","redistribution","commercial_use","derivative_database","produced_work_notice","share_alike","machine_readable_offer","attribution_status","attribution_text","contract_expiry","reviewed_by","reviewed_on","review_expires_at","artifact_status","status_notes"
"br.bcb.focus","expectativas-mercado","Banco Central do Brasil","https://dadosabertos.bcb.gov.br/dataset/expectativas-mercado","ODbL-1.0","https://opendatacommons.org/licenses/odbl/1-0/","1.0","not_applicable","2026-08-08","unknown","unknown","unknown","unknown","public_aggregate","unknown","unknown","unknown","unknown","unknown","conditional","conditional","conditional","required","unknown","not_applicable","unassigned","unknown","unknown","draft","License is resource-specific and does not generalize to SGS or PTAX; no ingestion or distribution before review"
"br.tesouro.td_rates","taxas-dos-titulos-ofertados-pelo-tesouro-direto","Tesouro Nacional","https://www.tesourotransparente.gov.br/ckan/dataset/taxas-dos-titulos-ofertados-pelo-tesouro-direto","ODbL-1.0","https://opendatacommons.org/licenses/odbl/1-0/","1.0","not_applicable","2026-08-08","unknown","unknown","unknown","unknown","public_market","unknown","unknown","unknown","unknown","unknown","conditional","conditional","conditional","required","unknown","not_applicable","unassigned","unknown","unknown","draft","Do not ingest or embed in wheel before resource and derived-database review"
"br.cvm.funds_daily","fi-doc-inf_diario","Comissão de Valores Mobiliários","https://dados.cvm.gov.br/dataset/fi-doc-inf_diario","ODbL-1.0","https://opendatacommons.org/licenses/odbl/1-0/","1.0","not_applicable","2026-08-08","unknown","unknown","unknown","unknown","public_regulated_entity","unknown","unknown","unknown","unknown","unknown","conditional","conditional","conditional","required","unknown","not_applicable","unassigned","unknown","unknown","draft","No ingestion before review; preserve vintages and restatements if later approved"
"br.ibge.mortality","tabuas-completas-mortalidade","IBGE","https://www.ibge.gov.br/estatisticas/sociais/populacao/9126-tabuas-completas-de-mortalidade.html","unknown","unknown","unknown","unknown","2026-08-08","unknown","unknown","unknown","unknown","public_aggregate","unknown","unknown","prohibited","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unassigned","unknown","unknown","draft","Adapter and redistribution blocked until exact downloadable resource and license are recorded; avoid HTML scraping"
"br.ibge.population_projection","projecao-populacao-2024","IBGE","https://www.ibge.gov.br/estatisticas/sociais/populacao/9109-projecao-da-populacao.html","unknown","unknown","unknown","unknown","2026-08-08","unknown","unknown","unknown","unknown","public_aggregate","unknown","unknown","prohibited","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unassigned","unknown","unknown","draft","Ingestion blocked; pin stable download resource and exact terms"
"br.b3.market_data","product_specific","B3","https://www.b3.com.br/pt_br/market-data-e-indices/","CONTRACT_REQUIRED","https://www.b3.com.br/data/files/A0/D0/A2/FD/F441B9105B12E5A9AC094EA8/Politica%20de%20Consumo%20Market%20Data%20B3.pdf","policy_2026","unknown","2026-08-08","unknown","2026-01-01","unknown","unknown","contractual_market","contract_required","contract_required","contract_required","contract_required","contract_required","contract_required","contract_required","contract_required","contract_required","unknown","unknown","unassigned","unknown","unknown","draft","Every usage and product requires contract analysis; policy does not replace a contract and no data is authorized"
"br.b3.customer_positions","customer-position-export","B3","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","personal_financial","unknown","restricted","prohibited","prohibited","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","unknown","unassigned","unknown","unknown","draft","Missing exact channel, terms and authority; no collection, fixture, repository storage or redistribution"
"br.anbima.reune","reune","ANBIMA","https://www.anbima.com.br/informacoes/reune/reune_result.asp","RESTRICTED_TERMS","https://www.anbima.com.br/informacoes/reune/reune_result.asp","observed_2026-08-08","not_applicable","2026-08-08","unknown","unknown","unknown","unknown","contractual_market","restricted","restricted","restricted","restricted","restricted","conditional","not_applicable","not_applicable","unknown","unknown","not_applicable","unassigned","unknown","unknown","draft","Reference use does not authorize automation, commercial distribution or index construction"
"br.anbima.feed_investor","feed-investor","ANBIMA","https://www.anbima.com.br/pt_br/informar/termos-de-uso-anbima-feed-segmento-do-investidor.htm","CONTRACT_REQUIRED","https://www.anbima.com.br/pt_br/informar/termos-de-uso-anbima-feed-segmento-do-investidor.htm","observed_2026-08-08","unknown","2026-08-08","unknown","unknown","unknown","unknown","contractual_market","restricted","contract_required","restricted","restricted","restricted","contract_required","not_applicable","not_applicable","contract_required","unknown","unknown","unassigned","unknown","unknown","draft","No credentials or real data in repository or CI; authorized-user terms remain unresolved"
"br.anbima.calendar","business-calendar","ANBIMA","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","public_market","unknown","unknown","prohibited","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unassigned","unknown","unknown","draft","Exact resource and terms are missing; snapshot, adapter and redistribution remain blocked"
"br.inss.cnis","cnis-export","INSS / Dataprev","unknown","unknown","unknown","unknown","not_applicable","unknown","unknown","unknown","unknown","unknown","personal_regulatory","unknown","restricted","prohibited","prohibited","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","unassigned","unknown","unknown","draft","User-held personal record, not open data; no connector, credentials, real fixture, repository storage or redistribution"
"br.open_finance.customer_data","participant_api","Open Finance Brasil participants","https://www.bcb.gov.br/estabilidadefinanceira/openfinance_participantes","REGULATED_SHARING","https://normativos.bcb.gov.br/Lists/Normativos/Attachments/51028/Res_Conj_0001_v8_P.pdf","consolidated_v8","participant_and_consent_specific","2026-08-08","unknown","unknown","unknown","unknown","personal_financial","restricted","restricted","prohibited","prohibited","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","unknown","unassigned","unknown","unknown","draft","Consent is not an open-data license; project-base collection and distribution are blocked"
"br.open_insurance.customer_data","participant_api","Open Insurance participants","https://www.gov.br/susep/pt-br/assuntos/open-insurance/documentos_de_referencia","REGULATED_SHARING","https://www.gov.br/susep/pt-br/assuntos/open-insurance/documentos_de_referencia","scope_manual_v7.2_observed","participant_and_consent_specific","2026-08-08","unknown","unknown","unknown","unknown","personal_financial_or_sensitive","restricted","restricted","prohibited","prohibited","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","unknown","unassigned","unknown","unknown","draft","May include health-related sensitive data; project-base collection and distribution are blocked"
