"id","repository","intended_role","license_observed","license_evidence","maturity_observed","immutable_ref","distribution_boundary","status","verified_on","notes"
"OSS-001","https://github.com/wilsonfreitas/brasa","optional_adapter","MIT","root license detected","active repository","UNPINNED","separate data adapter; source-data rights remain independent","NOT_BENCHMARK_READY","2026-08-08","Pin commit and dataset-specific terms before use"
"OSS-002","https://github.com/wilsonfreitas/python-bcb","optional_adapter","MIT","root license detected","maintained client","UNPINNED","network adapter outside compute","NOT_BENCHMARK_READY","2026-08-08","Pin commit and endpoint contract; methods differ and the currency module documents web scraping"
"OSS-003","https://github.com/wilsonfreitas/python-bizdays","dependency_candidate","MIT","root license detected","maintained library","UNPINNED","calendar snapshot still required","NOT_BENCHMARK_READY","2026-08-08","Pin commit and reconcile official calendar"
"OSS-004","https://github.com/wilsonfreitas/python-fixedincome","differential_comparator","MIT-declared","pyproject declares MIT; root LICENSE not detected","0.1.0 Alpha observed","UNPINNED","test environment only until license resolved","LEGAL_REVIEW_REQUIRED","2026-08-08","Do not reuse code or make runtime-critical dependency yet"
"OSS-005","https://github.com/wilsonfreitas/R-fixedincome","differential_comparator","MIT-declared","DESCRIPTION references MIT plus LICENSE; detector returned NOASSERTION","independent R implementation","UNPINNED","isolated benchmark environment","LEGAL_REVIEW_REQUIRED","2026-08-08","Pin commit and reconcile license metadata"
"OSS-006","https://github.com/wilsonfreitas/salim","historical_inspiration","NOASSERTION","no license detected","legacy/inactive","UNPINNED","no code reuse","PROHIBITED_FOR_CODE_REUSE","2026-08-08","Domain archaeology only"
"OSS-007","https://github.com/econ-ark/HARK","research_challenger","Apache-2.0","root license detected","README describes beta and limited testing","UNPINNED","isolated research extra","NOT_BENCHMARK_READY","2026-08-08","Comparator is not an oracle"
"OSS-008","https://github.com/skfolio/skfolio","experimental_backend","BSD-3-Clause","root license detected","active library","UNPINNED","optional research extra","NOT_BENCHMARK_READY","2026-08-08","Large scope; promote only after benchmark"
"OSS-009","https://github.com/PyPortfolio/PyPortfolioOpt","differential_comparator","MIT","root license detected","established portfolio library","UNPINNED","benchmark or optional extra","NOT_BENCHMARK_READY","2026-08-08","Portfolio component only"
"OSS-010","https://github.com/dcajasn/Riskfolio-Lib","differential_comparator","BSD-3-Clause","root license detected","broad optimization library","UNPINNED","benchmark environment","NOT_BENCHMARK_READY","2026-08-08","Broad surface increases validation cost"
"OSS-011","https://github.com/cvxgrp/cvxportfolio","paper_and_isolated_comparator","GPL-3.0-only","root license detected","research/optimization library","UNPINNED","do not distribute in permissive core without legal decision","COPYLEFT_BOUNDARY","2026-08-08","Optional process boundary does not automatically settle compatibility"
"OSS-012","https://github.com/lballabio/QuantLib","differential_comparator","BSD-3-Clause-modified","official license page","mature broad library","UNPINNED","optional extra or isolated benchmark","NOT_BENCHMARK_READY","2026-08-08","Not a household-planning oracle"
"OSS-013","https://github.com/openfisca/openfisca-core","architecture_inspiration","AGPL-3.0-only","root license detected","policy microsimulation platform","UNPINNED","no code transfer into permissive core without review","COPYLEFT_BOUNDARY","2026-08-08","Inspiration for dated rules only"
"OSS-014","https://github.com/PolicyEngine/policyengine-core","architecture_inspiration","AGPL-3.0-only","root license detected","policy microsimulation platform","UNPINNED","no code transfer into permissive core without review","COPYLEFT_BOUNDARY","2026-08-08","Country models do not transfer automatically"
"OSS-015","https://github.com/wealthfolio/wealthfolio","product_inspiration","AGPL-3.0-only","root license detected","local-first application","UNPINNED","UX reference only","COPYLEFT_BOUNDARY","2026-08-08","Not mathematical validation evidence"
